#Data tag : 19v2 , Norm tag: None
#run:fill,ls,time,hltpath,delivered(/ub),recorded(/ub),avgpu,source
319337:6901,48:48,07/08/18 02:05:51,HLT_Photon33_v5,6.969410875,1.298637057,47.1,HFOC
319337:6901,49:49,07/08/18 02:06:14,HLT_Photon33_v5,6.956485148,6.717182206,47.1,HFOC
319337:6901,50:50,07/08/18 02:06:37,HLT_Photon33_v5,6.929059039,6.692724849,46.9,HFOC
319337:6901,51:51,07/08/18 02:07:00,HLT_Photon33_v5,6.950969248,6.712437512,47.0,HFOC
319337:6901,52:52,07/08/18 02:07:24,HLT_Photon33_v5,6.943372512,6.609271476,47.0,HFOC
319337:6901,53:53,07/08/18 02:07:47,HLT_Photon33_v5,6.931519029,6.693782959,46.9,HFOC
319337:6901,54:54,07/08/18 02:08:10,HLT_Photon33_v5,6.924976153,6.688722274,46.8,HFOC
319337:6901,55:55,07/08/18 02:08:34,HLT_Photon33_v5,6.911399589,6.675812215,46.8,HFOC
319337:6901,56:56,07/08/18 02:08:57,HLT_Photon33_v5,6.905248695,6.669870598,46.7,HFOC
319337:6901,57:57,07/08/18 02:09:20,HLT_Photon33_v5,6.895736675,6.661302809,46.6,HFOC
319337:6901,58:58,07/08/18 02:09:44,HLT_Photon33_v5,6.891006604,6.657143229,46.6,HFOC
319337:6901,59:59,07/08/18 02:10:07,HLT_Photon33_v5,6.884994430,6.651553773,46.6,HFOC
319337:6901,60:60,07/08/18 02:10:30,HLT_Photon33_v5,6.878865948,6.646278569,46.5,HFOC
319337:6901,61:61,07/08/18 02:10:54,HLT_Photon33_v5,6.866232685,6.634915202,46.4,HFOC
319337:6901,62:62,07/08/18 02:11:17,HLT_Photon33_v5,6.855753833,6.530435758,46.4,HFOC
319337:6901,63:63,07/08/18 02:11:40,HLT_Photon33_v5,6.850067233,6.620711826,46.3,HFOC
319337:6901,64:64,07/08/18 02:12:04,HLT_Photon33_v5,6.841258071,6.612158060,46.3,HFOC
319337:6901,65:65,07/08/18 02:12:27,HLT_Photon33_v5,6.832680582,6.510162901,46.2,HFOC
319337:6901,66:66,07/08/18 02:12:50,HLT_Photon33_v5,6.827180527,6.600085137,46.2,HFOC
319337:6901,67:67,07/08/18 02:13:13,HLT_Photon33_v5,6.822499097,6.595703026,46.2,HFOC
319337:6901,68:68,07/08/18 02:13:37,HLT_Photon33_v5,6.818340398,6.590888330,46.1,HFOC
319337:6901,69:69,07/08/18 02:14:00,HLT_Photon33_v5,6.821689374,6.594205460,46.1,HFOC
319337:6901,70:70,07/08/18 02:14:23,HLT_Photon33_v5,6.792686678,6.568228816,46.0,HFOC
319337:6901,71:71,07/08/18 02:14:47,HLT_Photon33_v5,6.808213325,6.581713874,46.1,HFOC
319337:6901,72:72,07/08/18 02:15:10,HLT_Photon33_v5,6.814343991,6.587892404,46.1,HFOC
319337:6901,73:73,07/08/18 02:15:33,HLT_Photon33_v5,6.792660112,6.567967010,46.0,HFOC
319337:6901,74:74,07/08/18 02:15:57,HLT_Photon33_v5,6.833874206,6.606227267,46.2,HFOC
319337:6901,75:75,07/08/18 02:16:20,HLT_Photon33_v5,6.845391083,6.522415224,46.3,HFOC
319337:6901,76:76,07/08/18 02:16:43,HLT_Photon33_v5,6.814728003,6.587545994,46.1,HFOC
319337:6901,77:77,07/08/18 02:17:07,HLT_Photon33_v5,6.772908838,6.549893667,45.8,HFOC
319337:6901,78:78,07/08/18 02:17:30,HLT_Photon33_v5,6.740364319,6.520329682,45.6,HFOC
319337:6901,79:79,07/08/18 02:17:53,HLT_Photon33_v5,6.742463007,6.522273706,45.6,HFOC
319337:6901,80:80,07/08/18 02:18:17,HLT_Photon33_v5,6.743390854,6.523165751,45.6,HFOC
319337:6901,81:81,07/08/18 02:18:40,HLT_Photon33_v5,6.739879126,6.519074297,45.6,HFOC
319337:6901,82:82,07/08/18 02:19:03,HLT_Photon33_v5,6.736333905,6.414656872,45.6,HFOC
319337:6901,83:83,07/08/18 02:19:26,HLT_Photon33_v5,6.723817506,6.504375755,45.5,HFOC
319337:6901,84:84,07/08/18 02:19:50,HLT_Photon33_v5,6.710525404,6.491949937,45.4,HFOC
319337:6901,85:85,07/08/18 02:20:13,HLT_Photon33_v5,6.699162035,6.481817714,45.3,HFOC
319337:6901,86:86,07/08/18 02:20:36,HLT_Photon33_v5,6.698555184,6.480889929,45.3,HFOC
319337:6901,87:87,07/08/18 02:21:00,HLT_Photon33_v5,6.696716389,6.387337723,45.3,HFOC
319337:6901,88:88,07/08/18 02:21:23,HLT_Photon33_v5,6.686738187,6.470799270,45.2,HFOC
319337:6901,89:89,07/08/18 02:21:46,HLT_Photon33_v5,5.873619266,5.700455556,39.7,HFOC
319337:6901,90:90,07/08/18 02:22:10,HLT_Photon33_v5,1.053939747,1.043580253,7.1,HFOC
319337:6901,91:91,07/08/18 02:22:33,HLT_Photon33_v5,3.059848826,3.012668686,20.7,HFOC
319337:6901,92:92,07/08/18 02:22:56,HLT_Photon33_v5,5.889468921,5.809748567,39.8,HFOC
319337:6901,93:93,07/08/18 02:23:20,HLT_Photon33_v5,6.287111078,6.196933375,42.5,HFOC
319337:6901,94:94,07/08/18 02:23:43,HLT_Photon33_v5,3.717779536,3.671610886,25.1,HFOC
319337:6901,95:95,07/08/18 02:24:06,HLT_Photon33_v5,1.359209898,1.347561987,9.2,HFOC
319337:6901,96:96,07/08/18 02:24:30,HLT_Photon33_v5,3.867375460,3.822876434,26.2,HFOC
319337:6901,97:97,07/08/18 02:24:53,HLT_Photon33_v5,0.744393866,0.738396246,5.0,HFOC
319337:6901,98:98,07/08/18 02:25:16,HLT_Photon33_v5,2.596716396,2.571889439,17.6,HFOC
319337:6901,99:99,07/08/18 02:25:39,HLT_Photon33_v5,5.610088426,5.535967190,38.0,HFOC
319337:6901,100:100,07/08/18 02:26:03,HLT_Photon33_v5,6.300223866,6.209354389,42.6,HFOC
319337:6901,101:101,07/08/18 02:26:26,HLT_Photon33_v5,3.515434884,3.477871822,23.8,HFOC
319337:6901,102:102,07/08/18 02:26:49,HLT_Photon33_v5,1.313277901,1.302100226,8.9,HFOC
319337:6901,103:103,07/08/18 02:27:13,HLT_Photon33_v5,6.437086214,6.344410249,43.5,HFOC
319337:6901,104:104,07/08/18 02:27:36,HLT_Photon33_v5,6.342070786,6.251081060,42.9,HFOC
319337:6901,105:105,07/08/18 02:27:59,HLT_Photon33_v5,6.474600207,6.380171223,43.8,HFOC
319337:6901,106:106,07/08/18 02:28:23,HLT_Photon33_v5,6.095843113,6.010025484,41.2,HFOC
319337:6901,107:107,07/08/18 02:28:46,HLT_Photon33_v5,6.191356227,6.104267644,41.9,HFOC
319337:6901,108:108,07/08/18 02:29:09,HLT_Photon33_v5,5.855716260,5.775708805,39.6,HFOC
319337:6901,109:109,07/08/18 02:29:33,HLT_Photon33_v5,6.650985968,6.552097977,45.0,HFOC
319337:6901,110:110,07/08/18 02:29:56,HLT_Photon33_v5,6.751484593,6.649648756,45.7,HFOC
319337:6901,111:111,07/08/18 02:30:19,HLT_Photon33_v5,6.749871196,6.648172232,45.7,HFOC
319337:6901,112:112,07/08/18 02:30:42,HLT_Photon33_v5,6.745841801,6.644455013,45.6,HFOC
319337:6901,113:113,07/08/18 02:31:06,HLT_Photon33_v5,6.734221462,6.632913716,45.6,HFOC
319337:6901,114:114,07/08/18 02:31:29,HLT_Photon33_v5,6.731245615,6.629931463,45.5,HFOC
319337:6901,115:115,07/08/18 02:31:52,HLT_Photon33_v5,6.726131331,6.615456334,45.5,HFOC
319337:6901,116:116,07/08/18 02:32:16,HLT_Photon33_v5,6.722234940,6.621284909,45.5,HFOC
319337:6901,117:117,07/08/18 02:32:39,HLT_Photon33_v5,6.718307311,6.617350458,45.4,HFOC
319337:6901,118:118,07/08/18 02:33:02,HLT_Photon33_v5,6.711942536,6.611390833,45.4,HFOC
319337:6901,119:119,07/08/18 02:33:26,HLT_Photon33_v5,6.704967624,6.604664585,45.4,HFOC
319337:6901,120:120,07/08/18 02:33:49,HLT_Photon33_v5,6.700988648,6.600667971,45.3,HFOC
319337:6901,121:121,07/08/18 02:34:12,HLT_Photon33_v5,6.694776552,6.594806544,45.3,HFOC
319337:6901,122:122,07/08/18 02:34:36,HLT_Photon33_v5,6.691759653,6.591835480,45.3,HFOC
319337:6901,123:123,07/08/18 02:34:59,HLT_Photon33_v5,6.686505756,6.586688241,45.2,HFOC
319337:6901,124:124,07/08/18 02:35:22,HLT_Photon33_v5,6.677341183,6.577672194,45.2,HFOC
319337:6901,125:125,07/08/18 02:35:46,HLT_Photon33_v5,6.669720442,6.570234898,45.1,HFOC
319337:6901,126:126,07/08/18 02:36:09,HLT_Photon33_v5,6.664433094,6.565543332,45.1,HFOC
319337:6901,127:127,07/08/18 02:36:32,HLT_Photon33_v5,6.662326459,6.562982414,45.1,HFOC
319337:6901,128:128,07/08/18 02:36:55,HLT_Photon33_v5,6.658358487,6.559512392,45.0,HFOC
319337:6901,129:129,07/08/18 02:37:19,HLT_Photon33_v5,6.657265244,6.558446614,45.0,HFOC
319337:6901,130:130,07/08/18 02:37:42,HLT_Photon33_v5,6.653876064,6.554056033,45.0,HFOC
319337:6901,131:131,07/08/18 02:38:05,HLT_Photon33_v5,6.651273916,6.552494960,45.0,HFOC
319337:6901,132:132,07/08/18 02:38:29,HLT_Photon33_v5,6.646213083,6.547549192,45.0,HFOC
319337:6901,133:133,07/08/18 02:38:52,HLT_Photon33_v5,6.641204503,6.542647034,44.9,HFOC
319337:6901,134:134,07/08/18 02:39:15,HLT_Photon33_v5,6.644610690,6.545980680,44.9,HFOC
319337:6901,135:135,07/08/18 02:39:39,HLT_Photon33_v5,6.645773167,6.547086265,45.0,HFOC
319337:6901,136:136,07/08/18 02:40:02,HLT_Photon33_v5,6.652485725,6.553770059,45.0,HFOC
319337:6901,137:137,07/08/18 02:40:25,HLT_Photon33_v5,6.652599688,6.553866934,45.0,HFOC
319337:6901,138:138,07/08/18 02:40:49,HLT_Photon33_v5,6.632138176,6.533680888,44.9,HFOC
319337:6901,139:139,07/08/18 02:41:12,HLT_Photon33_v5,6.631195191,6.532613657,44.9,HFOC
319337:6901,140:140,07/08/18 02:41:35,HLT_Photon33_v5,6.625569072,6.433893056,44.8,HFOC
319337:6901,141:141,07/08/18 02:41:59,HLT_Photon33_v5,6.620929110,6.522800897,44.8,HFOC
319337:6901,142:142,07/08/18 02:42:22,HLT_Photon33_v5,6.614243996,6.516340292,44.7,HFOC
319337:6901,143:143,07/08/18 02:42:45,HLT_Photon33_v5,6.608838384,6.511229914,44.7,HFOC
319337:6901,144:144,07/08/18 02:43:08,HLT_Photon33_v5,6.602375405,6.505232242,44.7,HFOC
319337:6901,145:145,07/08/18 02:43:32,HLT_Photon33_v5,6.596809751,6.499641047,44.6,HFOC
319337:6901,146:146,07/08/18 02:43:55,HLT_Photon33_v5,6.602052400,6.504458929,44.7,HFOC
319337:6901,147:147,07/08/18 02:44:18,HLT_Photon33_v5,6.611490677,6.514025300,44.7,HFOC
319337:6901,148:148,07/08/18 02:44:42,HLT_Photon33_v5,6.602845850,6.505298681,44.7,HFOC
319337:6901,149:149,07/08/18 02:45:05,HLT_Photon33_v5,6.586088264,6.489385498,44.6,HFOC
319337:6901,150:150,07/08/18 02:45:28,HLT_Photon33_v5,6.592458468,6.495443786,44.6,HFOC
319337:6901,151:151,07/08/18 02:45:52,HLT_Photon33_v5,6.594267401,6.497228893,44.6,HFOC
319337:6901,152:152,07/08/18 02:46:15,HLT_Photon33_v5,6.578117711,6.481413308,44.5,HFOC
319337:6901,153:153,07/08/18 02:46:38,HLT_Photon33_v5,6.567615322,6.470976165,44.4,HFOC
319337:6901,154:154,07/08/18 02:47:02,HLT_Photon33_v5,6.565020016,6.468912540,44.4,HFOC
319337:6901,155:155,07/08/18 02:47:25,HLT_Photon33_v5,6.554623893,6.458679309,44.3,HFOC
319337:6901,156:156,07/08/18 02:47:48,HLT_Photon33_v5,6.547746464,6.451584561,44.3,HFOC
319337:6901,157:157,07/08/18 02:48:11,HLT_Photon33_v5,6.544797268,6.449101570,44.3,HFOC
319337:6901,158:158,07/08/18 02:48:35,HLT_Photon33_v5,6.544894587,6.449021876,44.3,HFOC
319337:6901,159:159,07/08/18 02:48:58,HLT_Photon33_v5,6.539604289,6.443895466,44.2,HFOC
319337:6901,160:160,07/08/18 02:49:21,HLT_Photon33_v5,6.534738081,6.439392602,44.2,HFOC
319337:6901,161:161,07/08/18 02:49:45,HLT_Photon33_v5,6.529266448,6.433595970,44.2,HFOC
319337:6901,162:162,07/08/18 02:50:08,HLT_Photon33_v5,6.523417446,6.428434683,44.1,HFOC
319337:6901,163:163,07/08/18 02:50:31,HLT_Photon33_v5,6.520309594,6.425116205,44.1,HFOC
319337:6901,164:164,07/08/18 02:50:55,HLT_Photon33_v5,6.518346147,6.331507415,44.1,HFOC
319337:6901,165:165,07/08/18 02:51:18,HLT_Photon33_v5,6.512365531,6.417448271,44.1,HFOC
319337:6901,166:166,07/08/18 02:51:41,HLT_Photon33_v5,6.507959288,6.413281509,44.0,HFOC
319337:6901,167:167,07/08/18 02:52:05,HLT_Photon33_v5,6.502202607,6.407621002,44.0,HFOC
319337:6901,168:168,07/08/18 02:52:28,HLT_Photon33_v5,6.494310431,6.399625797,43.9,HFOC
319337:6901,169:169,07/08/18 02:52:51,HLT_Photon33_v5,6.489947003,6.395663309,43.9,HFOC
