#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/pb),recorded(/pb),avgpu,source
254231:4201,1:1,08/13/15 05:14:39,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,2:2,08/13/15 05:15:03,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,3:3,08/13/15 05:15:26,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,4:4,08/13/15 05:15:49,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,5:5,08/13/15 05:16:13,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,6:6,08/13/15 05:16:36,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,7:7,08/13/15 05:16:59,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,8:8,08/13/15 05:17:23,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,9:9,08/13/15 05:17:46,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,10:10,08/13/15 05:18:09,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,11:11,08/13/15 05:18:33,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,12:12,08/13/15 05:18:56,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,13:13,08/13/15 05:19:19,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,14:14,08/13/15 05:19:42,STABLE BEAMS,6500,0.001,0.001,14.2,PLTZERO
254231:4201,15:15,08/13/15 05:20:06,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,16:16,08/13/15 05:20:29,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,17:17,08/13/15 05:20:52,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,18:18,08/13/15 05:21:16,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,19:19,08/13/15 05:21:39,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,20:20,08/13/15 05:22:02,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,21:21,08/13/15 05:22:26,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,22:22,08/13/15 05:22:49,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,23:23,08/13/15 05:23:12,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
254231:4201,24:24,08/13/15 05:23:36,STABLE BEAMS,6500,0.001,0.001,14.1,PLTZERO
